osmid,longitude,lattitude,label,city,district,street,postalCode
1124644825,84.9217589,25.5508729,"Rajkiya Madhya Vidyalaya, SH-78, Gonawan, Naubatpur 801103, India",Naubatpur,Gonawan,SH-78,801103
1124645983,84.8677176,25.5582421,"SH-2, Bihta 801103, India",Bihta,Bihta,SH-2,801103
1124681255,84.8088132,25.4338063,"Aditya Classes, Donrapur, Bikram 801104, India",Bikram,Donrapur,,801104
1124681655,84.862587,25.4464426,"SH-2, Bikram 801104, India",Bikram,Bikram,SH-2,801104
1124681664,84.8619798,25.5447111,"SH-2, Bihta 801103, India",Bihta,Bihta,SH-2,801103
1124681734,84.8626885,25.4465661,"Union Bank of India-Bikram, NH-139, Bikram 801104, India",Bikram,Bikram,NH-139,801104
1124681868,84.8629303,25.4466628,"Minakshi Saree Collection, Bikram 801104, India",Bikram,Bikram,,801104
1124681871,84.8080978,25.4334089,"Aditya Classes, Donrapur, Bikram 801104, India",Bikram,Donrapur,,801104
1124681990,84.8081849,25.4340474,"Aditya Classes, Donrapur, Bikram 801104, India",Bikram,Donrapur,,801104
1124682142,84.8606017,25.5335549,"SH-2, Amahra, Bihta 801103, India",Bihta,Amahra,SH-2,801103
1124682403,84.8625505,25.4466053,"SH-2, Bikram 801104, India",Bikram,Bikram,SH-2,801104
1124682623,84.8175969,25.4640872,"Punjab National Bank-Patoot, Patut, Bikram 801112, India",Bikram,Patut,,801112
1124687936,84.7795359,25.3863416,"Shiv Mandir, SH-69, Saraiya, Dulhin Bazar 801104, India",Dulhin Bazar,Saraiya,SH-69,801104
1124863955,84.9146458,25.5093931,"Patna, Bihar, India",Patna,,,
1124865902,84.8648388,25.5173327,"SH-2, Hiramanpur, Bihta 801104, India",Bihta,Hiramanpur,SH-2,801104
1124865918,84.9090369,25.5035938,"Patna, Bihar, India",Patna,,,
1124866611,84.8581267,25.3815988,"SH-2, Dulhin Bazar 801102, India",Dulhin Bazar,Dulhin Bazar,SH-2,801102
1124867416,84.7317431,25.3197299,"Jai Mata di Ankit Uttam Hardware & Electrical, NH-98, Arwal 801110, India",Arwal,,NH-98,801110
